numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07607;20201205120000;99780;-50;8;230;7.400000;280.150000;277.250000;82;55530;0;mq;mq;100;7;450;mq;mq;mq;99070;mq;mq;620;mq;mq;mq;mq;278.050000;mq;mq;12.400000;12.400000;-10;mq;0.000000;mq;mq;-0.100000;6.500000;6.500000;7.300000;17.600000;mq;mq;mq;mq;7;mq;540;7;mq;690;7;mq;1140;mq;9;mq;
07621;20201205120000;99740;-150;8;250;4.100000;281.250000;273.750000;59;45230;0;mq;mq;mq;1;3720;mq;mq;mq;95460;mq;mq;620;mq;mq;mq;mq;274.950000;mq;mq;8.100000;8.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;1;mq;3720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20201205120000;99830;-60;8;100;2.100000;280.950000;272.450000;55;20000;0;mq;mq;mq;2;6120;mq;mq;mq;94950;mq;mq;620;mq;mq;mq;mq;275.050000;mq;mq;3.700000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;6120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20201205120000;99840;-90;8;250;4.500000;281.150000;276.050000;70;47970;0;mq;mq;75;5;800;mq;mq;mq;98050;mq;mq;660;mq;mq;mq;mq;276.650000;mq;mq;7.700000;9.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;5;mq;780;5;mq;1620;6;mq;2040;mq;mq;mq;
07643;20201205120000;99820;-80;8;320;2.900000;282.450000;275.750000;63;60000;0;mq;mq;mq;1;5640;mq;mq;mq;99720;mq;mq;680;mq;mq;mq;mq;269.250000;mq;mq;5.500000;5.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;1;mq;5640;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20201205120000;99750;-60;8;40;1.600000;279.750000;277.250000;84;19920;0;mq;mq;75;6;3660;mq;mq;mq;99360;mq;mq;610;mq;mq;mq;mq;273.950000;mq;mq;2.900000;2.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;2;mq;3660;6;mq;5220;mq;mq;mq;mq;mq;mq;
07661;20201205120000;mq;mq;mq;60;2.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3.700000;5.000000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20201205120000;99620;-100;8;340;7.200000;281.250000;276.550000;72;30000;21;6;2;100;4;800;31;27;mq;99310;mq;mq;350;mq;mq;mq;mq;278.650000;mq;mq;10.700000;10.700000;-10;1;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.200000;12.600000;mq;mq;mq;mq;2;8;600;4;6;1200;8;3;2400;mq;mq;mq;
07747;20201205120000;99870;-50;8;170;1.200000;281.950000;273.850000;57;48750;0;mq;mq;mq;2;5820;mq;mq;mq;99340;mq;mq;640;mq;mq;mq;mq;272.350000;mq;mq;2.200000;2.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;2;mq;5820;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20201205120000;99530;-130;5;170;2.400000;286.950000;283.150000;78;15680;0;mq;mq;100;8;1750;mq;mq;mq;99420;mq;mq;-130;mq;mq;mq;mq;282.850000;mq;mq;4.900000;7.000000;-10;mq;0.000000;mq;mq;0.000000;1.800000;10.900000;17.200000;47.800000;mq;mq;mq;mq;8;mq;1800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
